idea_id,source_type,source_ref,raw_idea,hypothesis,rationale,confidence_seed,status,created_at,owner,linked_fcode,review_cycle,hit_status,note,fcode,priority,priority_score,priority_basis
i20260806-007,sell_side,【招商因子周报20260529】本周大盘和盈利风格显著 https://news.10jqka.com.cn/field/20260531/677102770.shtml,"量能扩张速度(近20日均量÷近120日均量)而非量能水平,作为独立维度选股","过去20日日均成交量 / 过去120日日均成交量 的比值越高,未来20日收益越低(行业+市值中性化后 RankIC 显著为负)","招商因子周报20260529 在'120日成交量比率'上给出近一月表现居后的记录,反向即隐含该比率的截面信息未被吃干净;广发金工《财务附注中寻找低频Alpha增量》亦指出日频量价过度挖掘已近饱和,增量应来自**结构/速度型**构造而非水平型。机制:短期放量相对长期基准的抬升=关注度见顶/获利盘兑现前兆,A股尤甚。与已有换手率类因子的区别:比值消掉了个股自身流通盘与常态活跃度,是纯粹的'相对自己变热了多少'",high,validated,2026-08-06,factor-scout,,2026-11-04,pending,2026-08-17 交付为 f0005a volume_expansion_speed（近20日均量/近120日均量；hs300 IC≈-0.006 弱，留策略组筛）,f0005a,P0,95.0,已验证(validated)，直接优先
i20260820-022,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"120日平均换手率：迅投口径 IC=0.767, IR=0.969, 最大分位超额=50.66%, 最大分位换手=0.01%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0011a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 交付为 f0011a：120日平均换手率；我方PIT口径 RankIC=-0.0126 / ICIR=-0.118 / 胜率45.9% / Sharpe(净)0.77 / 方向反向；迅投IC=0.767为另一口径，已如实交付交策略组判强弱,,P0,77.1,"xuntou量化价值分Top6（IC=0.77,IR=0.97,超额=50.7%,换手=0.01%）"
i20260820-014,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"10日平均换手率：迅投口径 IC=0.892, IR=0.551, 最大分位超额=31.7%, 最大分位换手=0.03%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0012a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 交付为 f0012a：我方PIT口径 RankIC=-0.0161 / ICIR=-0.151 / 胜率43.5% / Sharpe(净)0.64 / 方向反向（因子值越大，未来收益越低）；迅投IC为另一口径，已如实交付交策略组判强弱,,P0,59.1,"xuntou量化价值分Top6（IC=0.89,IR=0.55,超额=31.7%,换手=0.03%）"
i20260820-017,xuntou_kanban,迅投因子看板(沪深300/近1年)/质量类因子,"存货周转天数：迅投口径 IC=0.83, IR=0.811, 最大分位超额=23.14%, 最大分位换手=0.0%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「质量类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0014a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 数据阻塞：需 PIT 基本面管线（存货/应收账款来自利润表+资产负债表），当前 BaoStockProvider.get_pit_financials 为未实现桩，另开慢车道评估 | 我方 PIT 口径重测（存货周转天数/f0014a，hs300，2020 起）：RankIC=-0.0008 ICIR=-0.010 胜率=49.7% n=1595 方向=反向 净年化=18.3% 净Sharpe=0.78。⚠️ 迅投看板 IC 0.2~0.99 为另一口径（非 RankIC），量级不可直接对比，我方 RankIC 偏低属常态；财报类因子存在「高IC低超额/方向或反向」陷阱，以分池 IC + 多头超额为最终判据。,,P0,59.1,"xuntou量化价值分Top6（IC=0.83,IR=0.81,超额=23.1%,换手=0.00%）"
i20260820-020,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"240日平均换手率：迅投口径 IC=0.785, IR=0.393, 最大分位超额=42.4%, 最大分位换手=0.0%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0013a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 交付为 f0013a：我方PIT口径 RankIC=-0.0106 / ICIR=-0.103 / 胜率47.1% / Sharpe(净)0.78 / 方向反向（因子值越大，未来收益越低）；迅投IC为另一口径，已如实交付交策略组判强弱,,P0,58.8,"xuntou量化价值分Top6（IC=0.79,IR=0.39,超额=42.4%,换手=0.00%）"
i20260820-019,xuntou_kanban,迅投因子看板(沪深300/近1年)/质量类因子,"应收账款周转天数：迅投口径 IC=0.794, IR=0.749, 最大分位超额=23.98%, 最大分位换手=0.0%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「质量类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0015a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 数据阻塞：需 PIT 基本面管线（存货/应收账款来自利润表+资产负债表），当前 BaoStockProvider.get_pit_financials 为未实现桩，另开慢车道评估 | 我方 PIT 口径重测（应收账款周转天数/f0015a，hs300，2020 起）：RankIC=+0.0000 ICIR=+0.001 胜率=50.3% n=1595 方向=正向 净年化=17.1% 净Sharpe=0.81。⚠️ 迅投看板 IC 0.2~0.99 为另一口径（非 RankIC），量级不可直接对比，我方 RankIC 偏低属常态；财报类因子存在「高IC低超额/方向或反向」陷阱，以分池 IC + 多头超额为最终判据。,,P0,56.9,"xuntou量化价值分Top6（IC=0.79,IR=0.75,超额=24.0%,换手=0.00%）"
i20260820-024,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"20日成交金额的标准差：迅投口径 IC=0.715, IR=0.832, 最大分位超额=22.7%, 最大分位换手=0.04%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0016a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 2026-08-20 交付为 f0016a：我方PIT口径 RankIC=-0.0079 / ICIR=-0.111 / 胜率44.8% / Sharpe(净)0.91 / 方向反向（因子值越大，未来收益越低）；迅投IC为另一口径，已如实交付交策略组判强弱,,P0,55.3,"xuntou量化价值分Top6（IC=0.71,IR=0.83,超额=22.7%,换手=0.04%）"
i20260818-001,downstream_feedback,factor-factory#1 §3.2,regime_dependency 补全：card/JSON 中 regime 统一填 unknown，下游组合决策需要不同市况互补,按 trending / ranging / volatile 三分类标记因子生效环境，替代 unknown,下游明确需求；不同市场环境生效的因子才能互补,high,hypothesized,2026-08-18,,,2026-11-16,pending,下游策略组 issue 需求,,P1,60.0,策略组明确需求，次之推进
i20260818-002,downstream_feedback,factor-factory#1 §3.3,跨因子 RankIC 相关矩阵（因子×因子），供下游评估组合分散化潜力,全因子两两 RankIC 相关表（非单池 correlation.csv），暴露冗余簇,下游明确需求；现有 universe_matrix 为因子×池子 IC，缺因子×因子视图,high,hypothesized,2026-08-18,,,2026-11-16,pending,下游策略组 issue 需求,,P1,60.0,策略组明确需求，次之推进
i20260818-003,downstream_feedback,factor-factory#1 §3.1,微观结构类因子：龙虎榜净买入 / 连板晋级率 / 封单结构 / 大单净流入,龙虎榜净买入、连板晋级率、封单强度、大单净流入与短期超额相关,下游明确需求；现有因子以传统技术因子为主与市面重叠度高,medium,hypothesized,2026-08-18,,,2026-11-16,pending,下游策略组 issue 需求,,P1,60.0,策略组明确需求，次之推进
i20260818-004,downstream_feedback,factor-factory#1 §3.1,事件驱动类因子：业绩预告超预期 / 高管增减持 / 限售解禁压力,业绩预告超预期、高管增减持方向、解禁压力与中期超额相关,下游明确需求；事件类与量价低相关可互补,medium,hypothesized,2026-08-18,,,2026-11-16,pending,下游策略组 issue 需求,,P1,60.0,策略组明确需求，次之推进
i20260818-005,downstream_feedback,factor-factory#1 §3.1,另类数据类因子：舆情情绪 / 分析师预期修正 / 北向与融资融券资金流向,舆情情绪、分析师预期修正、北向/两融资金流与超额相关,下游明确需求；数据源需评估 tushare/akshare/baostock 覆盖度,medium,hypothesized,2026-08-18,,,2026-11-16,pending,下游策略组 issue 需求,,P1,60.0,策略组明确需求，次之推进
i20260820-028,xuntou_kanban,迅投因子看板(沪深300/近1年) 分类规律,成长/动量/情绪类因子整体信息含量最高（均值IC 0.52~0.56），应作为灵感因子的主要来源池,优先从成长、动量、情绪三类挖掘候选，因其在迅投全市场回测中平均 IC 显著高于其他类（风险/风格类仅0.32）,基于迅投9分类412因子均值IC排序,medium,archived,2026-08-20,factor-scout,,2027-02-16,pending,[评估洞察类规律总结，非待实现因子，已归档] 分类规律总结，供灵感池后续挖掘方向参考；具体因子见同批候选条目,,P1,58.0,xuntou 方向性/规律建议（无单因子量化分），随量化候选同期推进
i20260820-029,xuntou_kanban,迅投因子看板(沪深300/近1年) 分类规律,"财务类因子数量巨大(248,占60%)但IC高而最大分位超额极低(均值0.5%)，属典型『高IC低超额』陷阱",财务细分科目因子虽与收益相关但选股超额小，入池需先验证方向（可能需反向）与拥挤度，勿直接照搬,基于财务类248因子均值IC 0.512 vs 均值超额0.5%的背离,medium,archived,2026-08-20,factor-scout,,2027-02-16,pending,[评估洞察类规律总结，非待实现因子，已归档] 分类规律总结，供灵感池后续挖掘方向参考；具体因子见同批候选条目,,P1,58.0,xuntou 方向性/规律建议（无单因子量化分），随量化候选同期推进
i20260820-030,xuntou_kanban,迅投因子看板(沪深300/近1年) 分类规律,换手率类因子（情绪类各周期平均换手率）是少数『高IC+高超额+低换手』的优质alpha源,重点研究情绪类换手率衍生因子（5/10/20/120日平均换手率等），其超额可达27%~50%且换手<0.1%,基于性价比候选中换手率因子占比高且超额突出,medium,archived,2026-08-20,factor-scout,,2027-02-16,pending,[评估洞察类规律总结，非待实现因子，已归档] 分类规律总结，供灵感池后续挖掘方向参考；具体因子见同批候选条目,,P1,58.0,xuntou 方向性/规律建议（无单因子量化分），随量化候选同期推进
i20260820-013,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"5日平均换手率：迅投口径 IC=0.996, IR=0.12, 最大分位超额=27.04%, 最大分位换手=0.06%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0017a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0017a（5日平均换手率）；我方PIT口径 RankIC=-0.0176 / ICIR=-0.168 / 胜率43.1% / Sharpe=0.55 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,48.2,"xuntou量化价值分（IC=1.00,IR=0.12,超额=27.0%,换手=0.06%）"
i20260820-018,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"上轨线（布林线）指标：迅投口径 IC=0.797, IR=0.393, 最大分位超额=17.03%, 最大分位换手=0.14%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0025a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0025a（上轨线（布林线）指标）；我方PIT口径 RankIC=-0.0114 / ICIR=-0.094 / 胜率46.2% / Sharpe=0.94 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,41.9,"xuntou量化价值分（IC=0.80,IR=0.39,超额=17.0%,换手=0.14%）"
